uri,artist,name,popularity,release_date,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:6xEHCWUvalb0fNYuAo591v,Rob Araujo,Nineteen,35,2018-10-12,2019-07-09 20:22:42+00:00,0.487,0.787,5,-11.323,0,0.0945,0.761,0.871,0.109,0.424,74.916,283200,4
spotify:track:6v96ZIpQUtWMSUqlBlTif6,Rob Araujo,Hike,31,2018-04-03,2019-07-10 14:12:50+00:00,0.567,0.377,0,-11.851,0,0.0783,0.709,0.802,0.103,0.563,120.927,227000,3
spotify:track:62VWmsNoDmqT0Mj9oHHFVh,Roy Hargrove,Strasbourg / St. Denis,49,2008-01-01,2019-07-10 15:01:41+00:00,0.701,0.445,1,-10.583,1,0.0834,0.149,0.59,0.0963,0.405,103.004,278627,4
spotify:track:1W97IZUEKOaIVxG7GKJkL6,Anomalie,Velours,46,2017-06-23,2019-07-10 17:28:40+00:00,0.541,0.465,1,-5.325,0,0.205,0.25,0.895,0.255,0.45,178.393,256180,4
spotify:track:0sCeNwt8xRCMR4NhKpMyBe,Herbie Hancock,Cantaloupe Island - Remastered 1999 / Rudy Van Gelder Edition,61,1964-06-17,2019-07-10 17:30:22+00:00,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.415,116.134,333947,4
spotify:track:4Ce66JznW8QbeyTdSzdGwR,Herbie Hancock,Chameleon,53,1973-10-26,2019-07-10 17:31:13+00:00,0.581,0.672,8,-8.279,1,0.0602,0.104,0.856,0.0458,0.808,111.154,941360,4
spotify:track:4OBZT9EnhYIV17t4pGw7ig,H.E.R.,Best Part (feat. Daniel Caesar),78,2017-10-20,2019-07-16 17:47:29+00:00,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208,209400,4
spotify:track:4ij4adsjNf7Ualn361bEHA,Mike Stern,Chromazone,36,1988-03-08,2019-07-24 19:44:58+00:00,0.62,0.786,1,-11.184,1,0.0417,0.294,0.717,0.112,0.688,120.444,462373,4
spotify:track:3NyKiWHMEyNHWcVaVhxfGJ,Sonny Grin,"Up Here for Thinking, Down Here for Dancing",15,2019-05-10,2019-08-01 14:11:52+00:00,0.766,0.727,4,-9.458,0,0.0487,0.0724,0.889,0.0661,0.229,117.996,248390,4
spotify:track:2pyxICfn3Mu743C1GqjwpI,insaneintherainmusic,Mii Channel Theme,35,2017-03-18,2020-01-06 17:26:43+00:00,0.838,0.497,6,-7.107,0,0.0538,0.389,0.873,0.0989,0.422,119.969,312434,4
spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr,Anderson .Paak,Make It Better (feat. Smokey Robinson),70,2019-04-12,2019-06-20 13:13:46+00:00,0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,219332,4
spotify:track:69kOkLUCkxIZYexIgSG8rq,Daft Punk,Get Lucky,73,2013-05-17,2019-06-20 13:14:12+00:00,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.82e-06,0.072,0.863,116.049,369627,4
spotify:track:67Nf4Nsr2Nm5CFfJgqwDb0,John Legend,Penthouse Floor,55,2016-12-02,2019-06-20 13:20:30+00:00,0.671,0.742,10,-4.768,0,0.368,0.451,4.38e-06,0.101,0.767,89.835,283787,4
spotify:track:7h2yhVxcZOGyQdOwD4Hu8J,Queen,I Want To Break Free - Remastered 2011,63,1984-02-27,2019-06-20 14:44:59+00:00,0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,258013,4
spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,94,2019-03-29,2019-06-20 14:46:48+00:00,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
spotify:track:6UnCGAEmrbGIOSmGRZQ1M2,Maggie Rogers,Light On,75,2019-01-18,2019-06-20 14:59:52+00:00,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,233880,4
spotify:track:27rdGxbavYJeBphck5MZAF,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),79,2018-11-30,2019-06-20 15:00:28+00:00,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4
spotify:track:3bH4HzoZZFq8UpZmI2AMgV,John Mayer,New Light,80,2018-05-10,2019-06-20 15:23:36+00:00,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,216015,4
spotify:track:0j2WBxWZnWti5TpSxjJvPb,John Mayer,Love on the Weekend,65,2016-11-17,2019-06-20 15:26:10+00:00,0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,212627,4
spotify:track:1c7UYTut2SBOPq64o2t0uN,John Mayer,Why Georgia,65,2001-08-16,2019-06-20 15:27:55+00:00,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,268973,4
spotify:track:3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,I Don't Care (with Justin Bieber),89,2019-05-10,2019-06-20 15:31:52+00:00,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
spotify:track:0am001WwFBVGDGLwRh3ixi,Clean Bandit,Rather Be (feat. Jess Glynne),61,2014-06-02,2019-06-20 15:34:12+00:00,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4
spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,83,1982-04-08,2019-06-20 21:11:35+00:00,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893,4
spotify:track:1oTo3ijRbaDAtrjJrGAPSw,blink-182,I Miss You,69,2003-01-01,2019-06-20 22:12:57+00:00,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4
spotify:track:6GcuA4J9ruyClBizBd4m5E,Beyoncé,Ego,56,2008-11-14,2019-06-21 15:19:26+00:00,0.623,0.389,1,-7.816,1,0.241,0.155,0.0,0.163,0.489,79.454,236360,4
spotify:track:2uROM73VxtppgLSE2k27nf,Tom Misch,Follow,54,2016-07-15,2019-06-25 01:30:36+00:00,0.785,0.367,4,-8.483,0,0.0363,0.113,0.0633,0.0902,0.468,90.003,225341,4
spotify:track:765k9tDIFOnoOfkO2cgitB,Prince,Take Me with U,49,1984-06-25,2019-06-28 13:19:25+00:00,0.707,0.814,2,-10.677,1,0.0288,0.0859,0.00281,0.234,0.697,121.92,234133,4
spotify:track:0bxmVPKnEopTyuMMkaTvUb,Teyana Taylor,Issues/Hold On,67,2018-06-23,2019-06-28 13:24:00+00:00,0.528,0.523,7,-4.82,1,0.0523,0.833,1.53e-06,0.103,0.692,93.06,185979,4
spotify:track:45PxuJqJBnPXZKLxoo9Apj,Daniel Caesar,SUPERPOSITION,66,2019-06-28,2019-06-28 18:35:44+00:00,0.589,0.279,4,-11.209,1,0.0408,0.911,0.000128,0.087,0.333,115.656,263795,4
spotify:track:76GlO5H5RT6g7y0gev86Nk,The Cure,Just Like Heaven,65,1987-05-25,2019-07-11 14:32:25+00:00,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000,4
spotify:track:4S1VYqwfkLit9mKVY3MXoo,Alphaville,Forever Young,73,1984-09-27,2019-07-11 14:33:48+00:00,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,226706,4
spotify:track:5jSz894ljfWE0IcHBSM39i,Prince,Raspberry Beret,68,1985-04-22,2019-07-11 14:37:01+00:00,0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,215173,4
spotify:track:004S8bMhFQjnbuqvdh6W71,Bonnie Tyler,Holding Out for a Hero,38,2010-01-25,2019-07-11 15:37:39+00:00,0.588,0.885,9,-6.267,0,0.0654,0.00239,0.00246,0.0862,0.928,149.031,262347,4
spotify:track:7rdGrVIoqwPWOULauvglio,Adam Levine,Lost Stars,61,2014-06-23,2019-07-23 13:00:16+00:00,0.498,0.583,0,-4.762,1,0.0274,0.105,0.0,0.0698,0.4,82.071,267933,4
